"Source:","C:\Users\mstra\OneDrive\Documents\Projects\Pedals\Overdrive\Overdrive.kicad_sch"
"Date:","6/20/2024 2:07:57 PM"
"Tool:","Eeschema 7.0.2"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","24"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Sim.Device","Sim.Pins"
"1","2","C1, C2","10uF","Device:C","","~","","",""
"2","1","C3","100pF","Device:C","","~","","",""
"3","1","C4","220nF","Device:C","","~","","",""
"4","1","C5","1uF","Device:C","","~","","",""
"5","1","C6","470nF","Device:C","","~","","",""
"6","1","C7","22nF","Device:C","","~","","",""
"7","1","C8","2.2uF","Device:C","","~","","",""
"8","2","D1, D2","D","Device:D","","~","","D","1=K 2=A"
"9","1","J1","IN","Connector_Audio:AudioJack2","","~","","",""
"10","1","J2","AudioJack2","Connector_Audio:AudioJack2","","~","","",""
"11","3","R1, R2, R5","10K","Device:R","","~","","",""
"12","2","R3, R6","1M","Device:R","","~","","",""
"13","1","R4","1K","Device:R","","~","","",""
"14","1","RV1","100K","Device:R_Potentiometer","","~","","",""
"15","1","RV2","10K","Device:R_Potentiometer","","~","","",""
"16","1","RV3","50K","Device:R_Potentiometer","","~","","",""
"17","2","SW1, SW2","SW_DPDT_x2","Switch:SW_DPDT_x2","","~","","",""
"18","1","U1","LM358","Amplifier_Operational:LM358","","http://www.ti.com/lit/ds/symlink/lm2904-n.pdf","","",""
